location,year,sex,age,smoke,overweight
MEX,2000,female,30-34,0.069135517,0.667
MEX,2000,female,35-39,0.088394031,0.72
MEX,2000,female,40-44,0.092877716,0.8
MEX,2000,female,45-49,0.094761156,0.845
MEX,2000,female,50-54,0.08825177,0.761
MEX,2000,female,55-59,0.071382068,0.78
MEX,2000,female,60-64,0.056972168,0.748
MEX,2000,female,65-69,0.054336503,0.704
MEX,2000,male,20-24,0.198891848,0.397
MEX,2000,male,25-29,0.229076475,0.541
MEX,2000,male,30-34,0.219551474,0.636
MEX,2000,male,35-39,0.225790918,0.698
MEX,2000,male,40-44,0.245402753,0.717
MEX,2000,male,45-49,0.242364675,0.739
MEX,2000,male,50-54,0.244472414,0.713
MEX,2000,male,55-59,0.239687011,0.666
MEX,2000,male,60-64,0.212305829,0.667
MEX,2000,male,65-69,0.184365496,0.629
MEX,2001,female,20-24,0.055062272,0.429
MEX,2001,female,25-29,0.048998542,0.581
MEX,2001,female,30-34,0.065753303,0.676
MEX,2001,female,35-39,0.080773808,0.727
MEX,2001,female,40-44,0.0863287,0.801
MEX,2001,female,45-49,0.090499274,0.839
MEX,2001,female,50-54,0.083814882,0.768
MEX,2001,female,55-59,0.069405839,0.787
MEX,2001,female,60-64,0.053752936,0.754
MEX,2001,female,65-69,0.050547048,0.711
MEX,2001,male,20-24,0.189731553,0.407
MEX,2001,male,25-29,0.216732591,0.551
MEX,2001,male,30-34,0.204759076,0.646
MEX,2001,male,35-39,0.210623652,0.709
MEX,2001,male,40-44,0.227693334,0.727
MEX,2001,male,45-49,0.230507329,0.747
MEX,2001,male,50-54,0.231880367,0.723
MEX,2001,male,55-59,0.224005342,0.676
MEX,2001,male,60-64,0.204941422,0.674
MEX,2001,male,65-69,0.177000225,0.633
MEX,2002,female,20-24,0.054458242,0.43
MEX,2002,female,25-29,0.047333285,0.587
MEX,2002,female,30-34,0.062684767,0.682
MEX,2002,female,35-39,0.074191093,0.732
MEX,2002,female,40-44,0.081031933,0.8
MEX,2002,female,45-49,0.086756535,0.832
MEX,2002,female,50-54,0.078326784,0.776
MEX,2002,female,55-59,0.068003483,0.793
MEX,2002,female,60-64,0.051047638,0.758
MEX,2002,female,65-69,0.047824815,0.719
MEX,2002,male,20-24,0.183624491,0.416
MEX,2002,male,25-29,0.207332417,0.559
MEX,2002,male,30-34,0.193517163,0.655
MEX,2002,male,35-39,0.199064061,0.717
MEX,2002,male,40-44,0.212791488,0.735
MEX,2002,male,45-49,0.220450416,0.752
MEX,2002,male,50-54,0.221124128,0.731
MEX,2002,male,55-59,0.211784214,0.684
MEX,2002,male,60-64,0.199446201,0.68
MEX,2002,male,65-69,0.17195572,0.636
MEX,2003,female,20-24,0.053493641,0.432
MEX,2003,female,25-29,0.046574697,0.591
MEX,2003,female,30-34,0.058842704,0.688
MEX,2003,female,35-39,0.067636803,0.738
MEX,2003,female,40-44,0.076465204,0.8
MEX,2003,female,45-49,0.082381941,0.825
MEX,2003,female,50-54,0.070656456,0.785
MEX,2003,female,55-59,0.066747688,0.798
MEX,2003,female,60-64,0.048610166,0.762
MEX,2003,female,65-69,0.04680885,0.727
MEX,2003,male,20-24,0.178464979,0.424
MEX,2003,male,25-29,0.198588863,0.564
MEX,2003,male,30-34,0.183159098,0.661
MEX,2003,male,35-39,0.188932881,0.724
MEX,2003,male,40-44,0.198433131,0.741
MEX,2003,male,45-49,0.209871814,0.756
MEX,2003,male,50-54,0.21035935,0.738
MEX,2003,male,55-59,0.200739563,0.692
MEX,2003,male,60-64,0.194492862,0.687
MEX,2003,male,65-69,0.167594001,0.639
MEX,2004,female,20-24,0.053951453,0.435
MEX,2004,female,25-29,0.047874831,0.594
MEX,2004,female,30-34,0.054281365,0.692
MEX,2004,female,35-39,0.062379628,0.743
